Id_Athlete,Athlete,Gender,Medal
,UNKNOWN COX / BARREUR INCONNU,Men,Silver
,WALEFF,Men,Silver
,"ASHE, Saint-George",Men,Bronze
,"BARRELET, Henri",Men,Gold
,"GAUDIN, André",Men,Silver
,"AITOFF, Vladimir",Men,Gold
,"ALBERT, A.",Men,Gold
,"BINOCHE, Jean, LÃ©on",Men,Gold
,"COLLAS, Jean",Men,Gold
,"GAUTIER, Jean Guy",Men,Gold
,"GIROUX, Auguste",Men,Gold
,"GONDOUIN, Charles",Men,Gold
,"HENRIQUEZ DE ZUBIERRA, Constantin",Men,Gold
,"HERVE, Jean",Men,Gold
,"LARDANCHET, Victor",Men,Gold
,"LEFEBVRE, Hubert",Men,Gold
,"OLIVIER, Joseph",Men,Gold
,"PHARAMOND, Alexandre",Men,Gold
,"REICHEL, Frantz",Men,Gold
,"RISCHMANN, André",Men,Gold
,"ROOSEVELT, Albert",Men,Gold
,"SARRADE, Emile",Men,Gold
,"AMRHEIN, Albert",Men,Silver
,"BAYLISS, F.C.",Men,Silver
,"BETTING, Hugo",Men,Silver
,"BIRTLES, J.Henry",Men,Silver
,"CAUTLON, J.",Men,Silver
,"DARBY, Artur John",Men,Silver
,"DEYKIN, C.P.",Men,Silver
,"HERRMANN, Jacob",Men,Silver
,"HOFMEISTER, Willy",Men,Silver
,"HOOD, L.",Men,Silver
,"KREUZER, Hermann",Men,Silver
,"LANDVOIGT, Arnold",Men,Silver
,"LATSCHA, Hans",Men,Silver
,"LOGAN, M.L.",Men,Silver
,"LOVEITT, H.A.",Men,Silver
,"LUDWIG, Erich",Men,Silver
,"LUDWIG, Richard",Men,Silver
,"MÜLLER, Fritz",Men,Silver
,"NICOL, N.S.",Men,Silver
,"POPPE, Eduard",Men,Silver
,"REITZ, Heinrich",Men,Silver
,"SCHMIERER, August",Men,Silver
,"SMITH, V.",Men,Silver
,"STOCKHAUSEN, Adolf",Men,Silver
,"TALBOT, M.W.",Men,Silver
,"WALLIS, J.G.",Men,Silver
,"WENDEROTH, Georg",Men,Silver
,"WHITTINDALE, Claud",Men,Silver
,"WHITTINDALE, Raymond",Men,Silver
,"WILSON, Francis Henry",Men,Silver
,"MICHELET, E.",Men,Bronze
,"MICHELET, F.",Men,Bronze
,"GRETTON, John H.",Men,Gold
,"HOPE, Linton",Men,Gold
,"LORD CURRIE, Lorne Campbell",Men,Gold
,"BAUDRIER, Jacques",Men,Silver
,"LEBRET, Jean",Men,Silver
,MARCOTTE,Men,Silver
,"MARTIN, William",Men,Silver
,VALTON,Men,Silver
,"HORE, Edward",Men,Bronze
,"BILLARD, Emile",Men,Gold
,"PERQUER, P.",Men,Gold
,"LE DUC DECAZES, Jean",Men,Silver
,"MACHENRY, M.",Men,Bronze
,"TAYLOR, Howard",Men,Gold
,"GUFFLET, Maurice",Men,Silver
,"MICHELET, E.",Men,Bronze
,"MICHELET, F.",Men,Bronze
,"GRETTON, John H.",Men,Gold
,"HOPE, Linton",Men,Gold
,"LORD CURRIE, Lorne Campbell",Men,Gold
,"NAUE, Georg",Men,Silver
,"PETERS, Heinrich",Men,Silver
,"WEISE, Ottokar",Men,Silver
,"WIESNER, Martin",Men,Silver
,"BALME, Eugène",Men,Bronze
,"LARROUY, Maurice",Men,Gold
,"MOREAUX, Léon",Men,Silver
,"BOUWENS, Antonius",Men,Bronze
,"SILLEM, Henrik",Men,Bronze
,"SWEYS, Anthony Ahasuerus",Men,Bronze
,"VAN DEN BERGH, Solko Johannes",Men,Bronze
,"VAN HAAN, Gerardus",Men,Bronze
,"LÜTHI, Friedrich",Men,Gold
,"PROBST, Paul",Men,Gold
,"RICHARDET, Louis-Marc",Men,Gold
,"RÖDERER, Karl Konrad",Men,Gold
,"STÄHELI, Konrad",Men,Gold
,"DUFFOY, Louis",Men,Silver
,"LECOQ, Maurice",Men,Silver
,"MOREAUX, Léon",Men,Silver
