NOME;PAIS_ORIGEM;GENERO;PREPARADOR FISICO;TECNICO;;;;;;;
TALBOT, M.W.;GBR;Men;;;;;;;;;
WALLIS, J.G.;GBR;Men;;;;;;;;;
WENDEROTH, Georg;GER;Men;;;;;;;;;
WHITTINDALE, Claud;GBR;Men;;;;;;;;;
WHITTINDALE, Raymond;GBR;Men;;;;;;;;;
WILSON, Francis Henry;GBR;Men;;;;;;;;;
MICHELET, E.;FRA;Men;;;;;;;;;
MICHELET, F.;FRA;Men;;;;;;;;;
GRETTON, John H.;GBR;Men;;;;;;;;;
HOPE, Linton;GBR;Men;;;;;;;;;
LORD CURRIE, Lorne Campbell;GBR;Men;;;;;;;;;
BAUDRIER, Jacques;FRA;Men;;;;;;;;;
LEBRET, Jean;FRA;Men;;;;;;;;;
MARCOTTE;FRA;Men;;;;;;;;;
MARTIN, William;FRA;Men;;;;;;;;;
VALTON;FRA;Men;;;;;;;;;
HORE, Edward;GBR;Men;;;;;;;;;
BILLARD, Emile;FRA;Men;;;;;;;;;
PERQUER, P.;FRA;Men;;;;;;;;;
LE DUC DECAZES, Jean;FRA;Men;;;;;;;;;
MACHENRY, M.;USA;Men;;;;;;;;;
TAYLOR, Howard;GBR;Men;;;;;;;;;
GUFFLET, Maurice;FRA;Men;;;;;;;;;
NAUE, Georg;GER;Men;;;;;;;;;
PETERS, Heinrich;GER;Men;;;;;;;;;
WEISE, Ottokar;GER;Men;;;;;;;;;
WIESNER, Martin;GER;Men;;;;;;;;;
BALME, Eug??ne;FRA;Men;;;;;;;;;
LARROUY, Maurice;FRA;Men;;;;;;;;;
MOREAUX, L??on;FRA;Men;;;;;;;;;
BOUWENS, Antonius;NED;Men;;;;;;;;;
SILLEM, Henrik;NED;Men;;;;;;;;;
SWEYS, Anthony Ahasuerus;NED;Men;;;;;;;;;
VAN DEN BERGH, Solko Johannes;NED;Men;;;;;;;;;
VAN HAAN, Gerardus;NED;Men;;;;;;;;;
LÜTHI, Friedrich;SUI;Men;;;;;;;;;
PROBST, Paul;SUI;Men;;;;;;;;;
RICHARDET, Louis-Marc;SUI;Men;;;;;;;;;
RÖDERER, Karl Konrad;SUI;Men;;;;;;;;;
