NOMEATLETA;NOMEESPORTE;MODALIDADE;MEDALHA
GOSSLER, Carl Heinrich;Rowing;Four-Oared Shell With Coxswain (4-);Gold
GOSSLER, Gustav Ludwig;Rowing;Four-Oared Shell With Coxswain (4-);Gold
GOSSLER, Oscar;Rowing;Four-Oared Shell With Coxswain (4-);Gold
HAZEBROUCK, Henri;Rowing;Four-Oared Shell With Coxswain (4-);Gold
KATZENSTEIN, Walther;Rowing;Four-Oared Shell With Coxswain (4-);Gold
TIETGENS, Waldemar;Rowing;Four-Oared Shell With Coxswain (4-);Gold
BROCKMANN, Hermanus Gerardus;Rowing;Four-Oared Shell With Coxswain (4-);Silver
HIEBENDAAI, Coenraad Christiaan;Rowing;Four-Oared Shell With Coxswain (4-);Silver
LOTSY, Gerhard Oswald;Rowing;Four-Oared Shell With Coxswain (4-);Silver
LOTSY, Paulus Jan;Rowing;Four-Oared Shell With Coxswain (4-);Silver
LUMPP, Georges;Rowing;Four-Oared Shell With Coxswain (4-);Silver
PERRIN, Charles;Rowing;Four-Oared Shell With Coxswain (4-);Silver
SOUBEYRAN, Daniel;Rowing;Four-Oared Shell With Coxswain (4-);Silver
TERWOGT, Johannes Hester Lambertus;Rowing;Four-Oared Shell With Coxswain (4-);Silver
WEGELIN, Emile;Rowing;Four-Oared Shell With Coxswain (4-);Silver
DELTOUR, Carlos;Rowing;Pair-Oared Shell With Coxswain (2+);Bronze
PAOLI, Raoul;Rowing;Pair-Oared Shell With Coxswain (2+);Bronze
VEDRENNE, Antoine Erneste;Rowing;Pair-Oared Shell With Coxswain (2+);Bronze
BRANDT, Francois Antoine;Rowing;Pair-Oared Shell With Coxswain (2+);Gold
BROCKMANN, Hermanus Gerardus;Rowing;Pair-Oared Shell With Coxswain (2+);Gold
KLEIN, Roelof;Rowing;Pair-Oared Shell With Coxswain (2+);Gold
MARTINET, Louis;Rowing;Pair-Oared Shell With Coxswain (2+);Silver
UNKNOWN COX / BARREUR INCONNU;Rowing;Pair-Oared Shell With Coxswain (2+);Silver
WALEFF;Rowing;Pair-Oared Shell With Coxswain (2+);Silver
ASHE, Saint-George;Rowing;Single Sculls (1X);Bronze
BARRELET, Henri;Rowing;Single Sculls (1X);Gold
GAUDIN, Andr??;Rowing;Single Sculls (1X);Silver
AITOFF, Vladimir;Rugby;Rugby;Gold
ALBERT, A.;Rugby;Rugby;Gold
BINOCHE, Jean, LÃ©on;Rugby;Rugby;Gold
COLLAS, Jean;Rugby;Rugby;Gold
GAUTIER, Jean Guy;Rugby;Rugby;Gold
GIROUX, Auguste;Rugby;Rugby;Gold
GONDOUIN, Charles;Rugby;Rugby;Gold
HENRIQUEZ DE ZUBIERRA, Constantin;Rugby;Rugby;Gold
HERVE, Jean;Rugby;Rugby;Gold
LARDANCHET, Victor;Rugby;Rugby;Gold
LEFEBVRE, Hubert;Rugby;Rugby;Gold
OLIVIER, Joseph;Rugby;Rugby;Gold
PHARAMOND, Alexandre;Rugby;Rugby;Gold
REICHEL, Frantz;Rugby;Rugby;Gold
RISCHMANN, Andr??;Rugby;Rugby;Gold
ROOSEVELT, Albert;Rugby;Rugby;Gold
SARRADE, Emile;Rugby;Rugby;Gold
AMRHEIN, Albert;Rugby;Rugby;Silver
BAYLISS, F.C.;Rugby;Rugby;Silver
BETTING, Hugo;Rugby;Rugby;Silver
BIRTLES, J.Henry;Rugby;Rugby;Silver
CAUTLON, J.;Rugby;Rugby;Silver
DARBY, Artur John;Rugby;Rugby;Silver
DEYKIN, C.P.;Rugby;Rugby;Silver
HERRMANN, Jacob;Rugby;Rugby;Silver
HOFMEISTER, Willy;Rugby;Rugby;Silver
HOOD, L.;Rugby;Rugby;Silver
KREUZER, Hermann;Rugby;Rugby;Silver
LANDVOIGT, Arnold;Rugby;Rugby;Silver
LATSCHA, Hans;Rugby;Rugby;Silver
LOGAN, M.L.;Rugby;Rugby;Silver
LOVEITT, H.A.;Rugby;Rugby;Silver
LUDWIG, Erich;Rugby;Rugby;Silver
LUDWIG, Richard;Rugby;Rugby;Silver
MÜLLER, Fritz;Rugby;Rugby;Silver
NICOL, N.S.;Rugby;Rugby;Silver
POPPE, Eduard;Rugby;Rugby;Silver
REITZ, Heinrich;Rugby;Rugby;Silver
SCHMIERER, August;Rugby;Rugby;Silver
SMITH, V.;Rugby;Rugby;Silver
STOCKHAUSEN, Adolf;Rugby;Rugby;Silver
TALBOT, M.W.;Rugby;Rugby;Silver
WALLIS, J.G.;Rugby;Rugby;Silver
WENDEROTH, Georg;Rugby;Rugby;Silver
WHITTINDALE, Claud;Rugby;Rugby;Silver
WHITTINDALE, Raymond;Rugby;Rugby;Silver
WILSON, Francis Henry;Rugby;Rugby;Silver
MICHELET, E.;Sailing;0.5-1T;Bronze
MICHELET, F.;Sailing;0.5-1T;Bronze
GRETTON, John H.;Sailing;0.5-1T;Gold
HOPE, Linton;Sailing;0.5-1T;Gold
LORD CURRIE, Lorne Campbell;Sailing;0.5-1T;Gold
BAUDRIER, Jacques;Sailing;0.5-1T;Silver
LEBRET, Jean;Sailing;0.5-1T;Silver
MARCOTTE;Sailing;0.5-1T;Silver
MARTIN, William;Sailing;0.5-1T;Silver
VALTON;Sailing;0.5-1T;Silver
HORE, Edward;Sailing;10-20T;Bronze
BILLARD, Emile;Sailing;10-20T;Gold
PERQUER, P.;Sailing;10-20T;Gold
LE DUC DECAZES, Jean;Sailing;10-20T;Silver
MACHENRY, M.;Sailing;3-10T;Bronze
TAYLOR, Howard;Sailing;3-10T;Gold
GUFFLET, Maurice;Sailing;3-10T;Silver
MICHELET, E.;Sailing;Open Class;Bronze
MICHELET, F.;Sailing;Open Class;Bronze
GRETTON, John H.;Sailing;Open Class;Gold
HOPE, Linton;Sailing;Open Class;Gold
LORD CURRIE, Lorne Campbell;Sailing;Open Class;Gold
NAUE, Georg;Sailing;Open Class;Silver
PETERS, Heinrich;Sailing;Open Class;Silver
WEISE, Ottokar;Sailing;Open Class;Silver
WIESNER, Martin;Sailing;Open Class;Silver
BALME, Eug??ne;Shooting;25M Rapid Fire Pistol (60 Shots);Bronze
LARROUY, Maurice;Shooting;25M Rapid Fire Pistol (60 Shots);Gold
MOREAUX, L??on;Shooting;25M Rapid Fire Pistol (60 Shots);Silver
BOUWENS, Antonius;Shooting;50M Army Pistol, Team;Bronze
SILLEM, Henrik;Shooting;50M Army Pistol, Team;Bronze
SWEYS, Anthony Ahasuerus;Shooting;50M Army Pistol, Team;Bronze
VAN DEN BERGH, Solko Johannes;Shooting;50M Army Pistol, Team;Bronze
VAN HAAN, Gerardus;Shooting;50M Army Pistol, Team;Bronze
LÜTHI, Friedrich;Shooting;50M Army Pistol, Team;Gold
PROBST, Paul;Shooting;50M Army Pistol, Team;Gold
RICHARDET, Louis-Marc;Shooting;50M Army Pistol, Team;Gold
RÖDERER, Karl Konrad;Shooting;50M Army Pistol, Team;Gold
ST�HELI, Konrad;Shooting;50M Army Pistol, Team;Gold
DUFFOY, Louis;Shooting;50M Army Pistol, Team;Silver
LECOQ, Maurice;Shooting;50M Army Pistol, Team;Silver
MOREAUX, L??on;Shooting;50M Army Pistol, Team;Silver
PAROCHE, Achille;Shooting;50M Army Pistol, Team;Silver
TRINITE;Shooting;50M Army Pistol, Team;Silver
ST�HELI, Konrad;Shooting;50M Pistol (60 Shots);Bronze
RÖDERER, Karl Konrad;Shooting;50M Pistol (60 Shots);Gold
PAROCHE, Achille;Shooting;50M Pistol (60 Shots);Silver
ÖSTMO, Ole;Shooting;Army Rifle, 300M, 3 Positions;Bronze
VAN ASBROECK, Paul;Shooting;Army Rifle, 300M, 3 Positions;Bronze
KELLENBERGER, Emil;Shooting;Army Rifle, 300M, 3 Positions;Gold
NIELSEN, Anders Peter;Shooting;Army Rifle, 300M, 3 Positions;Silver
ST�HELI, Konrad;Shooting;Army Rifle, 300M, Kneeling;Gold
KELLENBERGER, Emil;Shooting;Army Rifle, 300M, Kneeling;Silver
NIELSEN, Anders Peter;Shooting;Army Rifle, 300M, Kneeling;Silver
ÖSTMO, Ole;Shooting;Army Rifle, 300M, Prone;Bronze
PAROCHE, Achille;Shooting;Army Rifle, 300M, Prone;Gold
NIELSEN, Anders Peter;Shooting;Army Rifle, 300M, Prone;Silver
PAUMIER DU VERGIER, Charles;Shooting;Army Rifle, 300M, Standing;Bronze
MADSEN, Lars J??rgen;Shooting;Army Rifle, 300M, Standing;Gold
ÖSTMO, Ole;Shooting;Army Rifle, 300M, Standing;Silver
CAVADINI, Auguste;Shooting;Free Rifle, Team;Bronze
LECOQ, Maurice;Shooting;Free Rifle, Team;Bronze
MOREAUX, L??on;Shooting;Free Rifle, Team;Bronze
PAROCHE, Achille;Shooting;Free Rifle, Team;Bronze
THOMAS, Ren??;Shooting;Free Rifle, Team;Bronze
BÖCKLI, Franz;Shooting;Free Rifle, Team;Gold
GRÜTER, Alfred;Shooting;Free Rifle, Team;Gold
KELLENBERGER, Emil;Shooting;Free Rifle, Team;Gold
RICHARDET, Louis-Marc;Shooting;Free Rifle, Team;Gold
ST�HELI, Konrad;Shooting;Free Rifle, Team;Gold
FRYDENLUND, Olaf Emil;Shooting;Free Rifle, Team;Silver
HERMANDSEN, Hellmer;Shooting;Free Rifle, Team;Silver
ÖSTMO, Ole;Shooting;Free Rifle, Team;Silver
SAETHER, Ole Andreas;Shooting;Free Rifle, Team;Silver
SEEBERG, Tom;Shooting;Free Rifle, Team;Silver
DE CLARY, Justinien;Shooting;Trap (125 Targets);Bronze
DE BARBARIN, Roger;Shooting;Trap (125 Targets);Gold
GUYOT, Ren??;Shooting;Trap (125 Targets);Silver
DE LA CHAPELLE, Georges;Tennis;Doubles;Bronze
MAHONY, Harold Sergerson;Tennis;Doubles;Bronze
NORRIS, Arthur B.J.;Tennis;Doubles;Bronze
PREVOST, Andr??;Tennis;Doubles;Bronze
DOHERTY, Hugh Lawrence;Tennis;Doubles;Gold
DOHERTY, Reginald Frank;Tennis;Doubles;Gold
DE GARMENDIA, Basil Spalding;Tennis;Doubles;Silver
DECUGIS, Max;Tennis;Doubles;Silver
DOHERTY, Hugh Lawrence;Tennis;Mixed Doubles;Bronze
WARDEN, Archibald A.;Tennis;Mixed Doubles;Bronze
DOHERTY, Reginald Frank;Tennis;Mixed Doubles;Gold
MAHONY, Harold Sergerson;Tennis;Mixed Doubles;Silver
JONES, Marion;Tennis;Mixed Doubles;Bronze
ROSENBAUM, Hedwig;Tennis;Mixed Doubles;Bronze
COOPER, Charlotte;Tennis;Mixed Doubles;Gold
PREVOST, H??l??ne;Tennis;Mixed Doubles;Silver
DOHERTY, Reginald Frank;Tennis;Singles;Bronze
NORRIS, Arthur B.J.;Tennis;Singles;Bronze
DOHERTY, Hugh Lawrence;Tennis;Singles;Gold
MAHONY, Harold Sergerson;Tennis;Singles;Silver
JONES, Marion;Tennis;Singles;Bronze
ROSENBAUM, Hedwig;Tennis;Singles;Bronze
COOPER, Charlotte;Tennis;Singles;Gold
PREVOST, H??l??ne;Tennis;Singles;Silver
AABYE, Edgar;Tug of War;Tug Of War;Gold
NILSSON, August;Tug of War;Tug Of War;Gold
SCHMIDT, Eugen;Tug of War;Tug Of War;Gold
SÖDERSTRÖM, Gustaf;Tug of War;Tug Of War;Gold
STAAF, Karl Gustav;Tug of War;Tug Of War;Gold
WINCKLER, Charles;Tug of War;Tug Of War;Gold
BASSET, Pierre;Tug of War;Tug Of War;Silver
COLLAS, Jean;Tug of War;Tug Of War;Silver
GONDOUIN, Charles;Tug of War;Tug Of War;Silver
HENRIQUEZ DE ZUBIERRA, Constantin;Tug of War;Tug Of War;Silver
ROFFO, Joseph;Tug of War;Tug Of War;Silver
SARRADE, Emile;Tug of War;Tug Of War;Silver
BRAUNSCHWEIGER, Alfred;Diving;10M Platform;Bronze
KEHOE, Frank;Diving;10M Platform;Bronze
SHELDON, George;Diving;10M Platform;Gold
HOFFMANN, Georg;Diving;10M Platform;Silver
GOODWIN, Leo Budd;Diving;Plunge For Distance;Bronze
DICKEY, William Paul;Diving;Plunge For Distance;Gold
ADAMS, Edgar H.;Diving;Plunge For Distance;Silver
ZACHARIAS, Georg;Swimming;100M Backstroke;Bronze
BRACK, Walter;Swimming;100M Backstroke;Gold
HOFFMANN, Georg;Swimming;100M Backstroke;Silver
LEARY, J. Scott;Swimming;100M Freestyle;Bronze
HALMAY, Zoltan;Swimming;100M Freestyle;Gold
DANIELS, Charles;Swimming;100M Freestyle;Silver
GAILEY, Francis;Swimming;1500M Freestyle;Bronze
RAUSCH, Emil;Swimming;1500M Freestyle;Gold
KISS, Geza;Swimming;1500M Freestyle;Silver
RAUSCH, Emil;Swimming;200M Freestyle;Bronze
DANIELS, Charles;Swimming;200M Freestyle;Gold
GAILEY, Francis;Swimming;200M Freestyle;Silver
HANDY, Hehry Jamison;Swimming;400M Breaststroke;Bronze
ZACHARIAS, Georg;Swimming;400M Breaststroke;Gold
BRACK, Walter;Swimming;400M Breaststroke;Silver
WAHLE, Otto;Swimming;400M Freestyle;Bronze
DANIELS, Charles;Swimming;400M Freestyle;Gold
GAILEY, Francis;Swimming;400M Freestyle;Silver
EVANS, Gwynne;Swimming;4X50Y Freestyle Relay;Bronze
ORTHWEIN, William Robert;Swimming;4X50Y Freestyle Relay;Bronze
REYBURN, Amadee;Swimming;4X50Y Freestyle Relay;Bronze
SCHWARTZ, Marquard;Swimming;4X50Y Freestyle Relay;Bronze
DANIELS, Charles;Swimming;4X50Y Freestyle Relay;Gold
GOODWIN, Leo Budd;Swimming;4X50Y Freestyle Relay;Gold
HANDLEY, Louis De Breda;Swimming;4X50Y Freestyle Relay;Gold
RUDDY, Joseph A.;Swimming;4X50Y Freestyle Relay;Gold
GOETZ, Hugo;Swimming;4X50Y Freestyle Relay;Silver
HAMMOND, David;Swimming;4X50Y Freestyle Relay;Silver
THORNE, Raymond;Swimming;4X50Y Freestyle Relay;Silver
TUTTLE, William;Swimming;4X50Y Freestyle Relay;Silver
DANIELS, Charles;Swimming;50Y Freestyle (45.72M);Bronze
HALMAY, Zoltan;Swimming;50Y Freestyle (45.72M);Gold
LEARY, J. Scott;Swimming;50Y Freestyle (45.72M);Silver
KISS, Geza;Swimming;880Y Freestyle (804.66M);Bronze
RAUSCH, Emil;Swimming;880Y Freestyle (804.66M);Gold
GAILEY, Francis;Swimming;880Y Freestyle (804.66M);Silver
THOMPSON, William Henry;Archery;Double American Round (60Y - 50Y - 40Y);Bronze
BRYANT, George Philipp;Archery;Double American Round (60Y - 50Y - 40Y);Gold
WILLIAMS, Robert;Archery;Double American Round (60Y - 50Y - 40Y);Silver
POLLOCK, Jessie;Archery;Double Columbia Round (50Y - 40Y - 30Y);Bronze
HOWELL, Matilda Scott;Archery;Double Columbia Round (50Y - 40Y - 30Y);Gold
COOKE, Emma C.;Archery;Double Columbia Round (50Y - 40Y - 30Y);Silver
POLLOCK, Jessie;Archery;Double National Round (60Y - 50Y);Bronze
HOWELL, Matilda Scott;Archery;Double National Round (60Y - 50Y);Gold
COOKE, Emma C.;Archery;Double National Round (60Y - 50Y);Silver
THOMPSON, William Henry;Archery;Double York Round (100Y - 80Y - 60Y);Bronze
BRYANT, George Philipp;Archery;Double York Round (100Y - 80Y - 60Y);Gold
WILLIAMS, Robert;Archery;Double York Round (100Y - 80Y - 60Y);Silver
BRYANT, George Philipp;Archery;Team Round 60Y;Bronze
BRYANT, Wallace;Archery;Team Round 60Y;Bronze
DALLIN, Cyrus Edwin;Archery;Team Round 60Y;Bronze
RICHARDSON, Henry Barber;Archery;Team Round 60Y;Bronze
MAXSON, Louis W.;Archery;Team Round 60Y;Gold
SPENCER, Galen Carter;Archery;Team Round 60Y;Gold
THOMPSON, William Henry;Archery;Team Round 60Y;Gold
WILLIAMS, Robert;Archery;Team Round 60Y;Gold
CLARK, William A.;Archery;Team Round 60Y;Silver
DUVALL, Samuel Harding;Archery;Team Round 60Y;Silver
HUBBARD, Charles R.;Archery;Team Round 60Y;Silver
WOODRUFF, Charles S.;Archery;Team Round 60Y;Silver
HOWELL, Matilda Scott;Archery;Teams Fita Round;Gold
POLLOCK, Jessie;Archery;Teams Fita Round;Gold
TAYLOR, Louise;Archery;Teams Fita Round;Gold
WOODRUFF, Laura;Archery;Teams Fita Round;Gold
COOKE, Emma C.;Archery;Teams Fita Round;Silver
TAYLOR, Mabel;Archery;Teams Fita Round;Silver
HOGENSON, William;Athletics;100M;Bronze
HAHN, Archie;Athletics;100M;Gold
CARTMELL, John Nathaniel;Athletics;100M;Silver
ASHBURNER, Lesley;Athletics;110M Hurdles;Bronze
SCHULE, Frederick;Athletics;110M Hurdles;Gold
SHIDELER, Thaddeus;Athletics;110M Hurdles;Silver
HEARN, Lacey;Athletics;1500M;Bronze
LIGHTBODY, James;Athletics;1500M;Gold
VERNER, William Frank;Athletics;1500M;Silver
HOGENSON, William;Athletics;200M;Bronze
HAHN, Archie;Athletics;200M;Gold
CARTMELL, John Nathaniel;Athletics;200M;Silver
POAGE, George;Athletics;200M Hurdles;Bronze
HILLMAN, Harry;Athletics;200M Hurdles;Gold
CASTLEMAN, Frank;Athletics;200M Hurdles;Silver
NEWTON, Arthur;Athletics;3000M Steeplechase;Bronze
LIGHTBODY, James;Athletics;3000M Steeplechase;Gold
DALY, John;Athletics;3000M Steeplechase;Silver
GROMAN, Herman;Athletics;400M;Bronze
HILLMAN, Harry;Athletics;400M;Gold
WALLER, Frank;Athletics;400M;Silver
POAGE, George;Athletics;400M Hurdles;Bronze
HILLMAN, Harry;Athletics;400M Hurdles;Gold
WALLER, Frank;Athletics;400M Hurdles;Silver
MUNSON, David Curtis;Athletics;4Miles Team;Gold
NEWTON, Arthur;Athletics;4Miles Team;Gold
PILGRIM, Paul Harry;Athletics;4Miles Team;Gold
UNDERWOOD, George;Athletics;4Miles Team;Gold
VALENTINE, Howard;Athletics;4Miles Team;Gold
CORAY, Albert;Athletics;4Miles Team;Silver
HATCH, Sidney;Athletics;4Miles Team;Silver
HEARN, Lacey;Athletics;4Miles Team;Silver
LIGHTBODY, James;Athletics;4Miles Team;Silver
VERNER, William Frank;Athletics;4Miles Team;Silver
MITCHELL, James;Athletics;56LB Weight Throw (25.4KG);Bronze
DESMARTEAU, Etienne;Athletics;56LB Weight Throw (25.4KG);Gold
FLANAGAN, John Jesus;Athletics;56LB Weight Throw (25.4KG);Silver
MOULTON, Fay;Athletics;60M;Bronze
HAHN, Archie;Athletics;60M;Gold
HOGENSON, William;Athletics;60M;Silver
BREITKREUTZ, Emil;Athletics;800M;Bronze
LIGHTBODY, James;Athletics;800M;Gold
VALENTINE, Howard;Athletics;800M;Silver
HARE, Thomas Truxton;Athletics;Decathlon;Bronze
KIELY, Thomas Francis;Athletics;Decathlon;Gold
GUNN, Adam;Athletics;Decathlon;Silver
GEORGANDAS, Nicolaos;Athletics;Discus Throw;Bronze
SHERIDAN, Martin;Athletics;Discus Throw;Gold
ROSE, Ralph;Athletics;Discus Throw;Silver
ROSE, Ralph;Athletics;Hammer Throw;Bronze
FLANAGAN, John Jesus;Athletics;Hammer Throw;Gold
DEWITT, John;Athletics;Hammer Throw;Silver
WEINSTEIN, Paul;Athletics;High Jump;Bronze
JONES, Samuel;Athletics;High Jump;Gold
SERVISS, Garrett;Athletics;High Jump;Silver
ROBERTSON, Lawson N.;Athletics;High Jump, Standing;Bronze
EWRY, Ray;Athletics;High Jump, Standing;Gold
STADLER, Joseph F.;Athletics;High Jump, Standing;Silver
STANGLAND, Robert;Athletics;Long Jump;Bronze
PRINSTEIN, Meyer;Athletics;Long Jump;Gold
FRANK, Daniel;Athletics;Long Jump;Silver
BILLER, John;Athletics;Long Jump, Standing;Bronze
EWRY, Ray;Athletics;Long Jump, Standing;Gold
KING, Charles;Athletics;Long Jump, Standing;Silver
NEWTON, Arthur;Athletics;Marathon;Bronze
HICKS, Thomas;Athletics;Marathon;Gold
CORAY, Albert;Athletics;Marathon;Silver
WILKINS, Louis;Athletics;Pole Vault;Bronze
DVORAK, Charles;Athletics;Pole Vault;Gold
SAMSE, Leroy;Athletics;Pole Vault;Silver
FEUERBACH, Lawrence E. Joseph;Athletics;Shot Put;Bronze
ROSE, Ralph;Athletics;Shot Put;Gold
COE, William Wesley;Athletics;Shot Put;Silver
MERZ, William;Athletics;Triathlon (Long Jump / Shot Put / 100 Yards);Bronze
EMMERICH, Max;Athletics;Triathlon (Long Jump / Shot Put / 100 Yards);Gold
GRIEB, John;Athletics;Triathlon (Long Jump / Shot Put / 100 Yards);Silver
STANGLAND, Robert;Athletics;Triple Jump;Bronze
PRINSTEIN, Meyer;Athletics;Triple Jump;Gold
ENGLEHARDT, Frederick;Athletics;Triple Jump;Silver
STADLER, Joseph F.;Athletics;Triple Jump, Standing;Bronze
EWRY, Ray;Athletics;Triple Jump, Standing;Gold
KING, Charles;Athletics;Triple Jump, Standing;Silver
FINNEGAN, George;Boxing;- 47.63KG (Flyweight);Gold
BURKE, Miles;Boxing;- 47.63KG (Flyweight);Silver
MICHAELS, William;Boxing;+ 71.67KG (Heavyweight);Bronze
BERGER, Samuel;Boxing;+ 71.67KG (Heavyweight);Gold
MAYER, Charles;Boxing;+ 71.67KG (Heavyweight);Silver
KIRK, Oliver L.;Boxing;47.63 - 52.16KG (Bantamweight);Gold
FINNEGAN, George;Boxing;47.63 - 52.16KG (Bantamweight);Silver
GILMORE, Frederick;Boxing;52.16 - 56.7KG (Featherweight);Bronze
KIRK, Oliver L.;Boxing;52.16 - 56.7KG (Featherweight);Gold
HALLER, Frank;Boxing;52.16 - 56.7KG (Featherweight);Silver
VAN HORN, Russell;Boxing;56.7 - 61.24KG (Lightweight);Bronze
SPANGER, Harry J.;Boxing;56.7 - 61.24KG (Lightweight);Gold
EAGAN, James Jack;Boxing;56.7 - 61.24KG (Lightweight);Silver
EAGAN, James Jack;Boxing;61.24 - 65.77KG (Welterweight);Bronze
LYDON, Joseph;Boxing;61.24 - 65.77KG (Welterweight);Bronze
YOUNG, Albert;Boxing;61.24 - 65.77KG (Welterweight);Gold
SPANGER, Harry J.;Boxing;61.24 - 65.77KG (Welterweight);Silver
MAYER, Charles;Boxing;65.77 - 71.67KG (Middleweight);Gold
SPRADLEY, Benjamin;Boxing;65.77 - 71.67KG (Middleweight);Silver
BILLINGTON, Edward;Cycling Track;1 Mile (1609.3M);Bronze
HURLEY, Marcus;Cycling Track;1 Mile (1609.3M);Gold
DOWNING, Burton;Cycling Track;1 Mile (1609.3M);Silver
DOWNING, Burton;Cycling Track;1/2 Mile (804.7M);Bronze
HURLEY, Marcus;Cycling Track;1/2 Mile (804.7M);Gold
BILLINGTON, Edward;Cycling Track;1/2 Mile (804.7M);Silver
BILLINGTON, Edward;Cycling Track;1/3 Mile (536.5M);Bronze
HURLEY, Marcus;Cycling Track;1/3 Mile (536.5M);Gold
DOWNING, Burton;Cycling Track;1/3 Mile (536.5M);Silver
BILLINGTON, Edward;Cycling Track;1/4 Mile (402.3M);Bronze
HURLEY, Marcus;Cycling Track;1/4 Mile (402.3M);Gold
DOWNING, Burton;Cycling Track;1/4 Mile (402.3M);Silver
HURLEY, Marcus;Cycling Track;2 Miles (3.218KM);Bronze
DOWNING, Burton;Cycling Track;2 Miles (3.218KM);Gold
GOERKE, Oscar;Cycling Track;2 Miles (3.218KM);Silver
WILEY, George;Cycling Track;25 Miles (40.232KM);Bronze
DOWNING, Burton;Cycling Track;25 Miles (40.232KM);Gold
ANDREWS, Arthur F.;Cycling Track;25 Miles (40.232KM);Silver
ANDREWS, Arthur F.;Cycling Track;5 Miles (8.046KM);Bronze
SCHLEE, Charles;Cycling Track;5 Miles (8.046KM);Gold
WILEY, George;Cycling Track;5 Miles (8.046KM);Silver
VAN ZO POST, Albertson;Fencing;  Individual;Bronze
FONST, Ramon;Fencing;  Individual;Gold
TATHAM, Charles;Fencing;  Individual;Silver
TATHAM, Charles;Fencing;Foil Individual;Bronze
FONST, Ramon;Fencing;Foil Individual;Gold
VAN ZO POST, Albertson;Fencing;Foil Individual;Silver
DIAZ, Manuel;Fencing;Foil Team;Gold
FONST, Ramon;Fencing;Foil Team;Gold
VAN ZO POST, Albertson;Fencing;Foil Team;Gold
FOX, Arthur;Fencing;Foil Team;Silver
TATHAM, Charles;Fencing;Foil Team;Silver
TOWNSEND, Charles Fitzhugh;Fencing;Foil Team;Silver
VAN ZO POST, Albertson;Fencing;Sabre Individual;Bronze
DIAZ, Manuel;Fencing;Sabre Individual;Gold
GREBE, William;Fencing;Sabre Individual;Silver
GREBE, William;Fencing;Stick, Single;Bronze
VAN ZO POST, Albertson;Fencing;Stick, Single;Gold
O'CONNOR, William Scott;Fencing;Stick, Single;Silver
BRADY, Joseph J.;Football;Football;Bronze
COOKE, George Edwin;Football;Football;Bronze
COOKE, Thomas J.;Football;Football;Bronze
COSTGROVE, Cormic F.;Football;Football;Bronze
DIERKES;Football;Football;Bronze
DOOLING, Martin T.;Football;Football;Bronze
FROST, Frank;Football;Football;Bronze
JAMESON, Claude Stanley;Football;Football;Bronze
JAMESON, Henry Wood;Football;Football;Bronze
JOHNSON, -;Football;Football;Bronze
O'CONNELL;Football;Football;Bronze
TATE, Harry;Football;Football;Bronze
BARTLIFF, Charles Albert;Football;Football;Gold
BRADY, Joseph J.;Football;Football;Gold
BRITTINGHAM, Warren G.;Football;Football;Gold
BROCKMEYER, Oscar B.;Football;Football;Gold
COOKE, George Edwin;Football;Football;Gold
COOKE, Thomas J.;Football;Football;Gold
COSTGROVE, Cormic F.;Football;Football;Gold
CUDMORE, Alexander;Football;Football;Gold
DIERKES;Football;Football;Gold
DOOLING, Martin T.;Football;Football;Gold
DUCKER, George;Football;Football;Gold
FRASER, John Alexander;Football;Football;Gold
FROST, Frank;Football;Football;Gold
GOURLEY, John;Football;Football;Gold
HALL, Alexander;Football;Football;Gold
JAMESON, Claude Stanley;Football;Football;Gold
JAMESON, Henry Wood;Football;Football;Gold
JANUARY, Charles James;Football;Football;Gold
JANUARY, John Hartnett;Football;Football;Gold
JANUARY, Thomas Thurston;Football;Football;Gold
JOHNSON, -;Football;Football;Gold
JOHNSON, Albert;Football;Football;Gold
LANE, Robert;Football;Football;Gold
LAWLER, Raymond E.;Football;Football;Gold
LINTON, Ernest;Football;Football;Gold
LYDON, Joseph;Football;Football;Gold
MACDONALD, Gordon;Football;Football;Gold
MENGES, Louis John;Football;Football;Gold
O'CONNELL;Football;Football;Gold
RATICAN, Peter Joseph;Football;Football;Gold
STEEP, Frederick;Football;Football;Gold
TATE, Harry;Football;Football;Gold
TAYLOR, Thomas;Football;Football;Gold
TWAITS, William;Football;Football;Gold
